metric,mean,std,min,max,median,count
robust_eigvec_cos_14,0.18738955641649066,0.2496470956840069,4.517659143488925e-05,0.9781261681002591,0.0721538724264996,78
robust_eigvec_cos_15,0.15969540727932538,0.22251449497629924,8.372446630210839e-05,0.988162927284654,0.08168719568592198,78
robust_eigvec_cos_16,0.15804233117360214,0.20306072995597227,1.9298138386176064e-07,0.9177070005097397,0.06804090763603993,78
robust_eigvec_cos_17,0.16583271424881946,0.20374974617516495,1.8070484821505307e-07,0.8331028013080306,0.08220262887579814,78
robust_eigvec_cos_18,0.2293274715720499,0.2589652959575163,0.00010557867612839546,0.9849366469037016,0.1247217076959784,78
robust_eigvec_cos_19,0.14389194603994027,0.20603338147730124,0.001111900003540549,0.9569756021120848,0.06680134129187529,78
robust_eigvec_cos_20,0.1509354908386022,0.181127055968964,0.0009480127191017496,0.874719738033703,0.08904883825291211,78
robust_eigvec_cos_21,0.15122705306851042,0.20367462191111863,8.764656222629717e-05,0.9938119663680476,0.0897289662148542,78
robust_eigvec_cos_22,0.1573089629188314,0.1858804247955446,8.978341902013286e-09,0.9177523146145509,0.0941017118636073,78
robust_eigvec_cos_23,0.1234212308811009,0.17139768149482693,1.7003092661417103e-05,0.9671655818201803,0.06743869190939206,78
robust_eigvec_cos_24,0.15843764357560786,0.20345116079208694,0.00011788415661308827,0.9530426130980654,0.07496503826803225,78
robust_eigvec_cos_25,0.1311819291998216,0.18274409762206123,0.00014932832008886538,0.9473849989319784,0.07779938097066691,78
robust_eigvec_cos_26,0.1274318643891852,0.18983694531402584,7.960179261462827e-08,0.9740982815356997,0.06328996571108139,78
robust_eigvec_cos_27,0.1354099972026645,0.18858642561212297,7.758723678809542e-09,0.9805803901545038,0.06907434943907347,78
robust_eigvec_cos_28,0.15477168394096733,0.2002011905180851,1.1820704485482693e-09,0.9849573010121138,0.0716521351559144,78
robust_eigvec_cos_29,0.10759231580105841,0.11720577135960193,5.763908571551239e-05,0.5301949745419167,0.06302461811666522,78
robust_eigvec_cos_30,0.11001372593546171,0.1129336018922758,5.5170054459157735e-08,0.45378857109075543,0.06950197908150171,78
robust_eigvec_cos_31,0.11368211427578338,0.1393926250998295,1.0315689901298546e-09,0.8079680329850132,0.06803554487389829,78
robust_eigvec_cos_32,0.10794634357515356,0.1541041417320533,3.993791638773843e-08,0.8423509298722848,0.0398150576153201,78
robust_eigvec_cos_33,0.11919650447267963,0.17368565396198143,2.2474081985410628e-10,0.8752031176381408,0.04302014057193516,78
robust_eigvec_cos_34,0.1490830298191488,0.16204981632057833,1.1666998258211944e-09,0.9737548470651421,0.10629603024370585,78
robust_eigvec_cos_35,0.11951571113300744,0.15138780482407763,2.426718141021714e-09,0.9083893352441317,0.0586238809869924,78
robust_eigvec_cos_36,0.14429474336959416,0.1831348443933764,0.000290238896377918,0.9322910979626872,0.05708700462519637,78
robust_eigvec_cos_37,0.14060940175049955,0.18460915921872081,3.9912130414357164e-08,0.8204341912952375,0.06524636580663884,78
robust_eigvec_cos_38,0.14840983692280948,0.20245613655044165,9.316182162003505e-05,0.8812808062592137,0.0736463892044585,78
robust_eigvec_cos_39,0.12776162842047617,0.1587291893043795,4.0041708196639656e-05,0.7979830177433991,0.0640527916787571,78
robust_eigvec_cos_40,0.10955371955159972,0.16889515537988767,1.1457448931516538e-08,0.8420712721777152,0.04702410969925061,78
robust_eigvec_cos_41,0.13294532335729817,0.160553728447827,3.6468160367135685e-05,0.6775622008993725,0.06728062511744465,78
robust_eigvec_cos_42,0.13495166076731552,0.1893897136031402,3.617215701736881e-05,0.8715169667432558,0.04807963231013661,78
robust_eigvec_cos_43,0.11163039384974915,0.1793901454642574,2.3591915976720392e-09,0.9821914188672807,0.053751990869509374,78
robust_eigvec_cos_44,0.11808361164042995,0.16385111948726153,0.001213988005311573,0.9732523581819645,0.05626872328668983,78
robust_eigvec_cos_45,0.12025288492003493,0.1699744138300032,2.2993638172758985e-08,0.7747717924541796,0.047694679589989776,78
robust_eigvec_cos_46,0.1320840550110704,0.13290673546519532,4.5698660139611734e-09,0.6285294584761487,0.09270973660174142,78
robust_eigvec_cos_47,0.11930562616499213,0.14518013483438158,2.690508109455324e-09,0.6712677509547935,0.06392446145307949,78
robust_eigvec_cos_48,0.1195655749798851,0.15912951880871545,6.898328563620213e-09,0.7424786304127361,0.04857910975762339,78
robust_eigvec_cos_49,0.1232394356212929,0.16672051521104714,2.858014225235311e-09,0.7906229338308809,0.060785861899433316,78
robust_eigvec_cos_50,0.13908709439127487,0.17852456566769895,0.0010915039241100473,0.931612646901298,0.07637085833909985,78
robust_eigvec_cos_51,0.10735699120520395,0.15183837967928163,8.284430518228129e-09,0.980180243517612,0.046504458131613226,78
robust_eigvec_cos_52,0.11532959162897222,0.15123685939903148,4.362189918354887e-09,0.9767596299477218,0.04940200813076464,78
robust_eigvec_cos_53,0.11158661188162054,0.1508866844105964,2.1401424087768693e-09,0.7106994330250898,0.055438063457227085,78
robust_eigvec_cos_54,0.10741284115078074,0.14834562949837626,2.7132255451036293e-06,0.6439743066989057,0.05405554405869627,78
robust_eigvec_cos_55,0.13409102896437036,0.17463702513104015,4.056075040129428e-06,0.9789505252704407,0.06939392556220876,78
robust_eigvec_cos_56,0.10129290548036964,0.15696999826322428,2.505662877729336e-06,0.9707918740031909,0.043454998397901054,78
robust_eigvec_cos_57,0.11297205765389098,0.14195626467152603,1.4596589594277753e-05,0.7426037218101107,0.05889298276975132,78
robust_eigvec_cos_58,0.11051809138030891,0.13616294196040277,0.00024785467818419006,0.8080967769751946,0.07093057317405946,78
robust_eigvec_cos_59,0.12888961503611696,0.16695781805369544,3.5685598827562783e-10,0.9744016998560815,0.05973823276296333,78
nelo_eigvec_cos_top5,0.27638950829340286,0.14591528405072055,0.04500148422456686,0.6742120585372825,0.2573088107746355,78
